,date,phong_ban,sum_duration
0,2020-04-05,wo_noc,15323.85
1,2020-04-23,wo_co_dien,34447.04
2,2020-05-29,wo_noc,17148.78
3,2020-12-29,wo_ksnn,73572.2
4,2020-05-02,wo_vt_cntt,144.0
5,2020-04-10,wo_ksnn,21919.28
6,2020-10-10,wo_co_dien,82719.4
7,2020-11-27,wo_co_dien,97159.47
8,2020-08-30,wo_others,252913.54
9,2020-10-19,wo_others,373633.99
10,2020-08-26,wo_noc,24277.46
11,2020-12-30,wo_ksnn,70712.51
12,2020-09-16,wo_vt_cntt,144.0
13,2020-03-14,wo_ksnn,29635.74
14,2020-01-02,wo_co_dien,205396.18
15,2020-02-19,wo_others,140380.0
16,2020-12-18,wo_others,329922.46
17,2020-01-26,wo_noc,30860.52
18,2020-09-17,wo_ksnn,49571.99
19,2020-10-18,wo_ksnn,40047.9
20,2020-07-22,wo_co_dien,247895.97
21,2020-12-29,wo_co_dien,121574.93
22,2020-10-06,wo_ktts,360.0
23,2020-11-07,wo_ksnn,50161.18
24,2020-07-01,wo_co_dien,134173.87
25,2020-07-04,wo_co_dien,279397.54
26,2020-08-09,wo_noc,23975.94
27,2020-08-13,wo_noc,26654.65
28,2020-10-05,wo_noc,20868.72
29,2020-11-12,wo_noc,19526.17
30,2020-11-12,wo_ksnn,51405.76
31,2020-03-06,wo_ksnn,35643.48
32,2020-02-16,wo_co_dien,101745.67
33,2020-02-02,wo_vt_cntt,83272.53
34,2020-02-23,wo_ktts,24.0
35,2020-03-26,wo_others,162221.22
36,2020-04-13,wo_co_dien,45578.61
37,2020-12-13,wo_others,324704.52
38,2020-08-06,wo_ksnn,41900.36
39,2020-09-24,wo_vt_cntt,192.0
40,2020-08-03,wo_ktts,156.49
41,2020-02-19,wo_noc,13310.24
42,2020-08-19,wo_co_dien,138197.55
43,2020-07-21,wo_others,221069.07
44,2020-07-26,wo_others,284205.84
45,2020-08-28,wo_others,302290.18
46,2020-09-14,wo_vt_cntt,166.58
47,2020-12-24,wo_vt_cntt,192.0
48,2020-07-04,wo_ktts,120.0
49,2020-01-09,wo_ksnn,4958.38
50,2020-01-17,wo_ksnn,6017.63
51,2020-01-31,wo_ksnn,33646.25
52,2020-03-07,wo_vt_cntt,76584.0
53,2020-03-25,wo_co_dien,69763.78
54,2020-07-02,wo_co_dien,264358.01
55,2020-04-13,wo_others,115183.79
56,2020-07-04,wo_others,191597.19
57,2020-07-18,wo_others,226540.64
58,2020-09-16,wo_others,406260.73
59,2020-05-09,wo_ksnn,23326.51
60,2020-04-23,wo_ktts,24.0
61,2020-01-29,wo_ksnn,33165.86
62,2020-03-11,wo_others,202002.82
63,2020-01-24,wo_co_dien,15317.47
64,2020-08-25,wo_noc,24073.27
65,2020-11-29,wo_vt_cntt,168.0
66,2020-07-05,wo_co_dien,276751.98
67,2020-11-09,wo_co_dien,153784.89
68,2020-08-10,wo_ktts,360.0
69,2020-05-24,wo_co_dien,225988.54
70,2020-06-27,wo_others,223889.01
71,2020-06-07,wo_noc,21152.75
72,2020-08-19,wo_noc,25455.81
73,2020-04-22,wo_vt_cntt,144.0
