,date,phong_ban,total_duration
0,2020-01-01,wo_co_dien,59856.56
7,2020-01-02,wo_co_dien,205396.18
8,2020-01-03,wo_co_dien,238813.4
14,2020-01-04,wo_co_dien,263309.13
19,2020-01-05,wo_co_dien,281805.86
23,2020-01-06,wo_co_dien,273122.62
25,2020-01-07,wo_co_dien,257826.96
31,2020-01-08,wo_co_dien,239999.84
35,2020-01-09,wo_co_dien,223840.77
37,2020-01-10,wo_co_dien,210004.5
41,2020-01-11,wo_co_dien,195422.34
48,2020-01-12,wo_co_dien,181378.2
50,2020-01-13,wo_co_dien,165712.54
56,2020-01-14,wo_co_dien,149917.05
60,2020-01-15,wo_co_dien,136103.7
61,2020-01-16,wo_co_dien,120690.57
69,2020-01-17,wo_co_dien,107466.38
72,2020-01-18,wo_co_dien,94625.39
76,2020-01-19,wo_co_dien,82397.23
83,2020-01-20,wo_co_dien,69105.98
85,2020-01-21,wo_co_dien,52659.27
94,2020-01-22,wo_co_dien,36008.63
96,2020-01-23,wo_co_dien,22954.02
103,2020-01-24,wo_co_dien,15317.47
108,2020-01-25,wo_co_dien,13367.63
110,2020-01-26,wo_co_dien,13244.33
115,2020-01-27,wo_co_dien,12880.61
123,2020-01-28,wo_co_dien,12067.71
126,2020-01-29,wo_co_dien,9954.48
133,2020-01-30,wo_co_dien,9089.2
137,2020-01-31,wo_co_dien,8367.17
144,2020-02-01,wo_co_dien,8269.2
145,2020-02-02,wo_co_dien,12647.71
150,2020-02-03,wo_co_dien,14143.91
155,2020-02-04,wo_co_dien,14860.27
160,2020-02-05,wo_co_dien,109081.26
167,2020-02-06,wo_co_dien,125645.77
174,2020-02-07,wo_co_dien,122767.53
177,2020-02-08,wo_co_dien,120870.5
184,2020-02-09,wo_co_dien,119713.39
185,2020-02-10,wo_co_dien,117781.99
190,2020-02-11,wo_co_dien,114953.76
199,2020-02-12,wo_co_dien,111991.65
206,2020-02-13,wo_co_dien,109229.24
211,2020-02-14,wo_co_dien,106732.58
219,2020-02-15,wo_co_dien,104204.16
222,2020-02-16,wo_co_dien,101745.67
226,2020-02-17,wo_co_dien,99454.6
232,2020-02-18,wo_co_dien,96215.22
239,2020-02-19,wo_co_dien,92719.26
247,2020-02-20,wo_co_dien,88643.5
251,2020-02-21,wo_co_dien,83988.18
258,2020-02-22,wo_co_dien,79227.43
263,2020-02-23,wo_co_dien,75414.71
268,2020-02-24,wo_co_dien,70847.96
279,2020-02-25,wo_co_dien,63105.63
285,2020-02-26,wo_co_dien,54409.44
287,2020-02-27,wo_co_dien,44191.2
295,2020-02-28,wo_co_dien,34208.37
301,2020-02-29,wo_co_dien,23382.71
308,2020-03-01,wo_co_dien,46688.95
314,2020-03-02,wo_co_dien,140763.77
321,2020-03-03,wo_co_dien,142140.29
324,2020-03-04,wo_co_dien,140692.36
