,date,phong_ban,total_duration
2,2020-01-01,wo_ksnn,682.55
5,2020-01-02,wo_ksnn,1611.54
9,2020-01-03,wo_ksnn,1776.64
13,2020-01-04,wo_ksnn,1981.34
17,2020-01-05,wo_ksnn,2008.04
20,2020-01-06,wo_ksnn,2103.76
27,2020-01-07,wo_ksnn,4195.38
29,2020-01-08,wo_ksnn,4857.01
34,2020-01-09,wo_ksnn,4958.38
39,2020-01-10,wo_ksnn,5130.49
43,2020-01-11,wo_ksnn,5150.29
45,2020-01-12,wo_ksnn,5013.15
51,2020-01-13,wo_ksnn,5158.22
54,2020-01-14,wo_ksnn,5637.13
59,2020-01-15,wo_ksnn,5866.9
64,2020-01-16,wo_ksnn,6194.42
68,2020-01-17,wo_ksnn,6017.63
74,2020-01-18,wo_ksnn,6205.45
78,2020-01-19,wo_ksnn,5800.95
80,2020-01-20,wo_ksnn,5740.57
89,2020-01-21,wo_ksnn,5483.95
90,2020-01-22,wo_ksnn,5023.79
97,2020-01-23,wo_ksnn,26120.95
104,2020-01-24,wo_ksnn,33535.52
109,2020-01-25,wo_ksnn,33552.0
112,2020-01-26,wo_ksnn,33552.0
116,2020-01-27,wo_ksnn,33350.99
122,2020-01-28,wo_ksnn,33140.48
128,2020-01-29,wo_ksnn,33165.86
131,2020-01-30,wo_ksnn,33498.91
136,2020-01-31,wo_ksnn,33646.25
140,2020-02-01,wo_ksnn,33051.92
146,2020-02-02,wo_ksnn,32299.88
152,2020-02-03,wo_ksnn,30959.22
158,2020-02-04,wo_ksnn,31377.64
164,2020-02-05,wo_ksnn,31224.03
168,2020-02-06,wo_ksnn,30237.11
173,2020-02-07,wo_ksnn,29137.01
176,2020-02-08,wo_ksnn,27912.19
180,2020-02-09,wo_ksnn,27439.34
186,2020-02-10,wo_ksnn,27162.89
194,2020-02-11,wo_ksnn,26642.79
201,2020-02-12,wo_ksnn,25710.94
203,2020-02-13,wo_ksnn,24372.48
209,2020-02-14,wo_ksnn,23538.2
218,2020-02-15,wo_ksnn,22508.05
224,2020-02-16,wo_ksnn,21124.8
228,2020-02-17,wo_ksnn,20151.31
235,2020-02-18,wo_ksnn,18349.95
241,2020-02-19,wo_ksnn,14015.73
244,2020-02-20,wo_ksnn,29920.58
250,2020-02-21,wo_ksnn,36289.34
260,2020-02-22,wo_ksnn,35935.0
262,2020-02-23,wo_ksnn,35384.16
271,2020-02-24,wo_ksnn,35202.08
276,2020-02-25,wo_ksnn,35294.03
284,2020-02-26,wo_ksnn,35639.94
290,2020-02-27,wo_ksnn,36429.95
294,2020-02-28,wo_ksnn,36345.58
302,2020-02-29,wo_ksnn,35946.49
305,2020-03-01,wo_ksnn,34761.09
311,2020-03-02,wo_ksnn,35208.24
317,2020-03-03,wo_ksnn,36184.29
326,2020-03-04,wo_ksnn,36351.85
332,2020-03-05,wo_ksnn,36109.86
334,2020-03-06,wo_ksnn,35643.48
344,2020-03-07,wo_ksnn,35085.13
351,2020-03-08,wo_ksnn,34658.0
353,2020-03-09,wo_ksnn,34102.27
359,2020-03-10,wo_ksnn,33214.5
366,2020-03-11,wo_ksnn,32569.57
371,2020-03-12,wo_ksnn,31532.85
377,2020-03-13,wo_ksnn,30360.65
386,2020-03-14,wo_ksnn,29635.74
390,2020-03-15,wo_ksnn,28775.52
396,2020-03-16,wo_ksnn,27476.15
404,2020-03-17,wo_ksnn,25464.73
409,2020-03-18,wo_ksnn,20549.92
412,2020-03-19,wo_ksnn,33980.36
420,2020-03-20,wo_ksnn,39940.47
429,2020-03-21,wo_ksnn,39303.44
430,2020-03-22,wo_ksnn,38703.5
440,2020-03-23,wo_ksnn,38147.33
443,2020-03-24,wo_ksnn,37636.04
453,2020-03-25,wo_ksnn,36872.91
458,2020-03-26,wo_ksnn,36352.43
461,2020-03-27,wo_ksnn,35831.04
466,2020-03-28,wo_ksnn,35166.76
474,2020-03-29,wo_ksnn,34533.68
478,2020-03-30,wo_ksnn,33542.79
486,2020-03-31,wo_ksnn,35031.53
492,2020-04-01,wo_ksnn,34503.61
499,2020-04-02,wo_ksnn,33334.02
503,2020-04-03,wo_ksnn,32382.02
513,2020-04-04,wo_ksnn,31167.68
517,2020-04-05,wo_ksnn,30310.14
521,2020-04-06,wo_ksnn,29419.77
529,2020-04-07,wo_ksnn,27540.3
534,2020-04-08,wo_ksnn,26097.31
542,2020-04-09,wo_ksnn,24273.68
549,2020-04-10,wo_ksnn,21919.28
550,2020-04-11,wo_ksnn,20582.37
556,2020-04-12,wo_ksnn,19222.95
565,2020-04-13,wo_ksnn,17672.55
570,2020-04-14,wo_ksnn,14818.01
578,2020-04-15,wo_ksnn,11199.36
580,2020-04-16,wo_ksnn,31173.73
587,2020-04-17,wo_ksnn,37957.45
593,2020-04-18,wo_ksnn,36929.36
600,2020-04-19,wo_ksnn,36034.72
606,2020-04-20,wo_ksnn,35602.63
610,2020-04-21,wo_ksnn,35099.85
616,2020-04-22,wo_ksnn,34275.07
623,2020-04-23,wo_ksnn,33535.65
632,2020-04-24,wo_ksnn,32821.54
636,2020-04-25,wo_ksnn,31749.95
640,2020-04-26,wo_ksnn,31026.87
651,2020-04-27,wo_ksnn,30531.98
652,2020-04-28,wo_ksnn,31573.23
662,2020-04-29,wo_ksnn,31496.63
664,2020-04-30,wo_ksnn,31113.89
675,2020-05-01,wo_ksnn,30249.63
677,2020-05-02,wo_ksnn,29439.54
687,2020-05-03,wo_ksnn,28880.51
688,2020-05-04,wo_ksnn,28243.73
694,2020-05-05,wo_ksnn,27645.98
702,2020-05-06,wo_ksnn,26625.48
706,2020-05-07,wo_ksnn,25363.72
713,2020-05-08,wo_ksnn,24347.06
721,2020-05-09,wo_ksnn,23326.51
726,2020-05-10,wo_ksnn,22731.07
733,2020-05-11,wo_ksnn,21998.91
740,2020-05-12,wo_ksnn,20587.86
744,2020-05-13,wo_ksnn,16512.54
748,2020-05-14,wo_ksnn,33079.03
757,2020-05-15,wo_ksnn,40034.93
761,2020-05-16,wo_ksnn,39548.78
770,2020-05-17,wo_ksnn,39077.06
775,2020-05-18,wo_ksnn,38637.24
782,2020-05-19,wo_ksnn,37843.98
789,2020-05-20,wo_ksnn,37359.9
794,2020-05-21,wo_ksnn,37134.47
797,2020-05-22,wo_ksnn,36515.63
807,2020-05-23,wo_ksnn,35641.62
812,2020-05-24,wo_ksnn,34650.09
817,2020-05-25,wo_ksnn,33897.25
825,2020-05-26,wo_ksnn,35752.2
826,2020-05-27,wo_ksnn,36753.56
837,2020-05-28,wo_ksnn,36644.23
841,2020-05-29,wo_ksnn,35830.36
849,2020-05-30,wo_ksnn,35211.5
855,2020-05-31,wo_ksnn,34456.79
856,2020-06-01,wo_ksnn,32843.32
867,2020-06-02,wo_ksnn,31682.83
869,2020-06-03,wo_ksnn,30690.18
875,2020-06-04,wo_ksnn,30599.12
882,2020-06-05,wo_ksnn,30165.71
889,2020-06-06,wo_ksnn,28870.24
894,2020-06-07,wo_ksnn,27822.55
898,2020-06-08,wo_ksnn,26756.91
909,2020-06-09,wo_ksnn,24792.26
913,2020-06-10,wo_ksnn,21142.37
921,2020-06-11,wo_ksnn,42615.29
925,2020-06-12,wo_ksnn,50391.72
930,2020-06-13,wo_ksnn,49578.31
934,2020-06-14,wo_ksnn,48773.23
941,2020-06-15,wo_ksnn,47638.2
951,2020-06-16,wo_ksnn,46282.86
955,2020-06-17,wo_ksnn,45780.7
959,2020-06-18,wo_ksnn,45382.37
965,2020-06-19,wo_ksnn,45701.76
975,2020-06-20,wo_ksnn,45592.67
979,2020-06-21,wo_ksnn,44213.58
986,2020-06-22,wo_ksnn,43310.24
989,2020-06-23,wo_ksnn,44364.8
994,2020-06-24,wo_ksnn,45229.09
1005,2020-06-25,wo_ksnn,44800.01
1008,2020-06-26,wo_ksnn,44208.91
1012,2020-06-27,wo_ksnn,44100.72
1022,2020-06-28,wo_ksnn,43361.07
1025,2020-06-29,wo_ksnn,42628.33
1035,2020-06-30,wo_ksnn,42217.87
1040,2020-07-01,wo_ksnn,41515.87
1046,2020-07-02,wo_ksnn,39339.72
1053,2020-07-03,wo_ksnn,36610.57
1055,2020-07-04,wo_ksnn,34685.46
1062,2020-07-05,wo_ksnn,34209.92
1069,2020-07-06,wo_ksnn,32335.63
1075,2020-07-07,wo_ksnn,28458.36
1083,2020-07-08,wo_ksnn,22692.98
1086,2020-07-09,wo_ksnn,43486.49
1094,2020-07-10,wo_ksnn,51755.23
1101,2020-07-11,wo_ksnn,50723.37
1102,2020-07-12,wo_ksnn,50185.3
1110,2020-07-13,wo_ksnn,49871.75
1114,2020-07-14,wo_ksnn,48805.17
1123,2020-07-15,wo_ksnn,48054.61
1127,2020-07-16,wo_ksnn,48065.37
1133,2020-07-17,wo_ksnn,47617.31
1140,2020-07-18,wo_ksnn,46912.7
1148,2020-07-19,wo_ksnn,45608.41
1155,2020-07-20,wo_ksnn,44290.79
1158,2020-07-21,wo_ksnn,46320.73
1163,2020-07-22,wo_ksnn,46152.61
1169,2020-07-23,wo_ksnn,45410.14
1178,2020-07-24,wo_ksnn,44157.66
1180,2020-07-25,wo_ksnn,42919.3
1189,2020-07-26,wo_ksnn,41874.11
1195,2020-07-27,wo_ksnn,40545.55
1198,2020-07-28,wo_ksnn,38484.0
1205,2020-07-29,wo_ksnn,35833.39
1210,2020-07-30,wo_ksnn,34003.14
1217,2020-07-31,wo_ksnn,33194.7
1224,2020-08-01,wo_ksnn,31840.77
1230,2020-08-02,wo_ksnn,30775.24
1234,2020-08-03,wo_ksnn,28984.88
1240,2020-08-04,wo_ksnn,25275.59
1246,2020-08-05,wo_ksnn,20587.29
1255,2020-08-06,wo_ksnn,41900.36
1263,2020-08-07,wo_ksnn,49787.51
1266,2020-08-08,wo_ksnn,49006.01
1271,2020-08-09,wo_ksnn,48236.07
1279,2020-08-10,wo_ksnn,47195.68
1286,2020-08-11,wo_ksnn,45964.09
1291,2020-08-12,wo_ksnn,45056.64
1297,2020-08-13,wo_ksnn,44461.35
1304,2020-08-14,wo_ksnn,43623.47
1310,2020-08-15,wo_ksnn,43033.44
1316,2020-08-16,wo_ksnn,42288.36
1323,2020-08-17,wo_ksnn,40387.63
1328,2020-08-18,wo_ksnn,40983.29
1334,2020-08-19,wo_ksnn,40652.22
1341,2020-08-20,wo_ksnn,39934.43
1345,2020-08-21,wo_ksnn,40119.84
1352,2020-08-22,wo_ksnn,40252.13
1357,2020-08-23,wo_ksnn,39345.74
1360,2020-08-24,wo_ksnn,36497.74
