,date,phong_ban,total_duration
3,2020-01-01,wo_noc,1825.36
4,2020-01-02,wo_noc,4725.2
11,2020-01-03,wo_noc,9869.28
15,2020-01-04,wo_noc,11700.22
16,2020-01-05,wo_noc,13324.29
22,2020-01-06,wo_noc,14851.4
24,2020-01-07,wo_noc,17751.15
30,2020-01-08,wo_noc,20380.66
33,2020-01-09,wo_noc,21456.28
40,2020-01-10,wo_noc,21765.78
42,2020-01-11,wo_noc,22770.95
47,2020-01-12,wo_noc,23827.73
52,2020-01-13,wo_noc,24290.14
55,2020-01-14,wo_noc,25004.38
57,2020-01-15,wo_noc,25427.81
63,2020-01-16,wo_noc,25437.39
66,2020-01-17,wo_noc,24578.24
70,2020-01-18,wo_noc,23982.14
75,2020-01-19,wo_noc,23665.05
81,2020-01-20,wo_noc,24048.65
87,2020-01-21,wo_noc,23823.93
92,2020-01-22,wo_noc,23165.65
98,2020-01-23,wo_noc,23212.94
102,2020-01-24,wo_noc,23805.85
107,2020-01-25,wo_noc,29327.46
114,2020-01-26,wo_noc,30860.52
119,2020-01-27,wo_noc,30905.72
124,2020-01-28,wo_noc,31082.07
127,2020-01-29,wo_noc,31313.17
134,2020-01-30,wo_noc,31646.77
135,2020-01-31,wo_noc,29760.86
141,2020-02-01,wo_noc,26090.34
147,2020-02-02,wo_noc,23742.6
153,2020-02-03,wo_noc,21663.71
157,2020-02-04,wo_noc,18822.78
162,2020-02-05,wo_noc,16713.23
165,2020-02-06,wo_noc,15184.31
171,2020-02-07,wo_noc,14029.7
178,2020-02-08,wo_noc,12842.09
181,2020-02-09,wo_noc,14428.69
188,2020-02-10,wo_noc,14433.78
195,2020-02-11,wo_noc,14086.64
198,2020-02-12,wo_noc,13798.65
202,2020-02-13,wo_noc,14170.03
210,2020-02-14,wo_noc,13776.82
214,2020-02-15,wo_noc,14038.93
221,2020-02-16,wo_noc,13769.72
229,2020-02-17,wo_noc,14193.86
237,2020-02-18,wo_noc,14254.76
238,2020-02-19,wo_noc,13310.24
249,2020-02-20,wo_noc,12504.43
255,2020-02-21,wo_noc,12357.22
257,2020-02-22,wo_noc,11858.77
267,2020-02-23,wo_noc,11679.29
272,2020-02-24,wo_noc,12679.15
277,2020-02-25,wo_noc,12832.05
282,2020-02-26,wo_noc,13170.82
286,2020-02-27,wo_noc,13376.12
297,2020-02-28,wo_noc,13376.15
300,2020-02-29,wo_noc,13552.08
307,2020-03-01,wo_noc,14839.42
312,2020-03-02,wo_noc,14895.45
319,2020-03-03,wo_noc,15296.02
323,2020-03-04,wo_noc,15236.94
328,2020-03-05,wo_noc,15296.08
335,2020-03-06,wo_noc,15471.52
345,2020-03-07,wo_noc,16030.4
346,2020-03-08,wo_noc,16413.41
354,2020-03-09,wo_noc,17339.63
358,2020-03-10,wo_noc,16775.79
365,2020-03-11,wo_noc,18709.06
373,2020-03-12,wo_noc,20349.55
380,2020-03-13,wo_noc,17525.64
387,2020-03-14,wo_noc,16536.09
389,2020-03-15,wo_noc,17019.52
395,2020-03-16,wo_noc,15842.21
401,2020-03-17,wo_noc,13433.33
408,2020-03-18,wo_noc,14355.97
414,2020-03-19,wo_noc,14406.95
423,2020-03-20,wo_noc,13473.27
428,2020-03-21,wo_noc,13157.99
433,2020-03-22,wo_noc,13316.16
441,2020-03-23,wo_noc,13716.67
447,2020-03-24,wo_noc,13701.89
448,2020-03-25,wo_noc,14279.83
454,2020-03-26,wo_noc,14250.59
465,2020-03-27,wo_noc,14532.61
471,2020-03-28,wo_noc,15266.88
475,2020-03-29,wo_noc,15579.78
479,2020-03-30,wo_noc,13981.72
485,2020-03-31,wo_noc,13669.5
491,2020-04-01,wo_noc,13450.97
496,2020-04-02,wo_noc,13451.28
506,2020-04-03,wo_noc,14563.26
512,2020-04-04,wo_noc,15825.57
519,2020-04-05,wo_noc,15323.85
525,2020-04-06,wo_noc,14070.21
531,2020-04-07,wo_noc,13315.41
533,2020-04-08,wo_noc,13984.84
540,2020-04-09,wo_noc,13450.23
547,2020-04-10,wo_noc,12935.3
551,2020-04-11,wo_noc,12793.73
557,2020-04-12,wo_noc,12959.26
562,2020-04-13,wo_noc,11797.25
573,2020-04-14,wo_noc,10579.8
574,2020-04-15,wo_noc,10701.89
581,2020-04-16,wo_noc,10094.77
589,2020-04-17,wo_noc,10507.33
594,2020-04-18,wo_noc,11022.29
598,2020-04-19,wo_noc,11297.1
604,2020-04-20,wo_noc,11131.21
613,2020-04-21,wo_noc,11061.49
617,2020-04-22,wo_noc,10547.16
627,2020-04-23,wo_noc,9935.05
628,2020-04-24,wo_noc,9610.06
639,2020-04-25,wo_noc,9241.73
644,2020-04-26,wo_noc,9021.05
650,2020-04-27,wo_noc,8963.11
653,2020-04-28,wo_noc,9262.24
663,2020-04-29,wo_noc,9723.75
667,2020-04-30,wo_noc,9271.68
672,2020-05-01,wo_noc,8886.55
679,2020-05-02,wo_noc,9455.51
683,2020-05-03,wo_noc,10909.42
690,2020-05-04,wo_noc,12455.82
699,2020-05-05,wo_noc,14461.88
705,2020-05-06,wo_noc,16105.22
710,2020-05-07,wo_noc,12320.1
716,2020-05-08,wo_noc,14462.08
718,2020-05-09,wo_noc,16309.11
729,2020-05-10,wo_noc,17561.62
734,2020-05-11,wo_noc,16801.96
739,2020-05-12,wo_noc,16435.21
745,2020-05-13,wo_noc,16100.01
753,2020-05-14,wo_noc,16342.02
756,2020-05-15,wo_noc,16084.0
764,2020-05-16,wo_noc,17139.99
766,2020-05-17,wo_noc,16852.32
773,2020-05-18,wo_noc,16904.2
779,2020-05-19,wo_noc,16169.73
787,2020-05-20,wo_noc,17988.83
793,2020-05-21,wo_noc,21411.58
798,2020-05-22,wo_noc,21359.36
804,2020-05-23,wo_noc,19520.26
809,2020-05-24,wo_noc,17920.79
818,2020-05-25,wo_noc,19410.49
823,2020-05-26,wo_noc,20301.72
830,2020-05-27,wo_noc,18611.33
832,2020-05-28,wo_noc,17514.08
843,2020-05-29,wo_noc,17148.78
848,2020-05-30,wo_noc,17818.72
851,2020-05-31,wo_noc,18311.8
858,2020-06-01,wo_noc,18301.97
865,2020-06-02,wo_noc,19148.84
873,2020-06-03,wo_noc,18430.5
877,2020-06-04,wo_noc,18784.75
884,2020-06-05,wo_noc,19300.57
887,2020-06-06,wo_noc,20067.62
895,2020-06-07,wo_noc,21152.75
902,2020-06-08,wo_noc,21657.56
907,2020-06-09,wo_noc,21077.53
910,2020-06-10,wo_noc,20699.58
919,2020-06-11,wo_noc,24711.96
926,2020-06-12,wo_noc,24872.56
931,2020-06-13,wo_noc,24400.56
937,2020-06-14,wo_noc,24579.61
943,2020-06-15,wo_noc,23302.85
948,2020-06-16,wo_noc,21488.41
954,2020-06-17,wo_noc,21047.46
962,2020-06-18,wo_noc,21934.69
966,2020-06-19,wo_noc,21666.72
974,2020-06-20,wo_noc,22478.94
976,2020-06-21,wo_noc,23260.12
982,2020-06-22,wo_noc,25072.33
991,2020-06-23,wo_noc,25657.91
999,2020-06-24,wo_noc,26327.27
1002,2020-06-25,wo_noc,25821.82
1010,2020-06-26,wo_noc,26765.02
1014,2020-06-27,wo_noc,27316.13
1021,2020-06-28,wo_noc,28756.8
1024,2020-06-29,wo_noc,27548.22
1033,2020-06-30,wo_noc,25211.74
1039,2020-07-01,wo_noc,26111.29
1045,2020-07-02,wo_noc,25503.46
1051,2020-07-03,wo_noc,30632.11
1058,2020-07-04,wo_noc,22047.97
1065,2020-07-05,wo_noc,24961.89
1071,2020-07-06,wo_noc,26025.55
1076,2020-07-07,wo_noc,26282.39
1081,2020-07-08,wo_noc,27473.99
1089,2020-07-09,wo_noc,24968.97
1090,2020-07-10,wo_noc,23044.55
1100,2020-07-11,wo_noc,22836.82
1103,2020-07-12,wo_noc,21922.91
1108,2020-07-13,wo_noc,21864.51
1118,2020-07-14,wo_noc,22981.64
1125,2020-07-15,wo_noc,23143.52
1129,2020-07-16,wo_noc,22934.0
1137,2020-07-17,wo_noc,23151.5
1138,2020-07-18,wo_noc,24536.16
1149,2020-07-19,wo_noc,25042.14
1154,2020-07-20,wo_noc,23535.63
1156,2020-07-21,wo_noc,22546.94
1164,2020-07-22,wo_noc,23836.78
1173,2020-07-23,wo_noc,24354.23
1177,2020-07-24,wo_noc,24198.2
1185,2020-07-25,wo_noc,23070.25
1190,2020-07-26,wo_noc,22833.83
1194,2020-07-27,wo_noc,23238.17
1200,2020-07-28,wo_noc,30034.73
1209,2020-07-29,wo_noc,21758.57
1212,2020-07-30,wo_noc,21602.3
1218,2020-07-31,wo_noc,23059.66
1226,2020-08-01,wo_noc,23271.0
1232,2020-08-02,wo_noc,22406.91
1236,2020-08-03,wo_noc,20068.81
1242,2020-08-04,wo_noc,21063.99
1247,2020-08-05,wo_noc,26622.59
1256,2020-08-06,wo_noc,30138.78
1261,2020-08-07,wo_noc,31316.05
1267,2020-08-08,wo_noc,26039.84
1272,2020-08-09,wo_noc,23975.94
1277,2020-08-10,wo_noc,24556.14
1283,2020-08-11,wo_noc,26495.82
1292,2020-08-12,wo_noc,29963.31
1299,2020-08-13,wo_noc,26654.65
1303,2020-08-14,wo_noc,25100.85
1307,2020-08-15,wo_noc,24254.19
1312,2020-08-16,wo_noc,25684.93
1318,2020-08-17,wo_noc,25820.7
1324,2020-08-18,wo_noc,24832.39
1333,2020-08-19,wo_noc,25455.81
1336,2020-08-20,wo_noc,26374.24
1344,2020-08-21,wo_noc,25300.22
1350,2020-08-22,wo_noc,25349.97
1356,2020-08-23,wo_noc,26099.43
1361,2020-08-24,wo_noc,25331.39
1366,2020-08-25,wo_noc,24073.27
1375,2020-08-26,wo_noc,24277.46
1381,2020-08-27,wo_noc,24749.23
1386,2020-08-28,wo_noc,24163.21
1395,2020-08-29,wo_noc,23628.31
1397,2020-08-30,wo_noc,23131.95
1403,2020-08-31,wo_noc,21883.5
1410,2020-09-01,wo_noc,21712.64
1416,2020-09-02,wo_noc,21900.08
1422,2020-09-03,wo_noc,21702.96
1429,2020-09-04,wo_noc,21401.65
1433,2020-09-05,wo_noc,21507.35
1439,2020-09-06,wo_noc,22868.62
1448,2020-09-07,wo_noc,21179.59
1453,2020-09-08,wo_noc,19711.81
1461,2020-09-09,wo_noc,19646.0
1463,2020-09-10,wo_noc,20623.73
1473,2020-09-11,wo_noc,20643.76
1474,2020-09-12,wo_noc,20619.72
1484,2020-09-13,wo_noc,21340.22
1488,2020-09-14,wo_noc,21897.72
1492,2020-09-15,wo_noc,21164.91
1500,2020-09-16,wo_noc,21489.93
1504,2020-09-17,wo_noc,23628.3
1510,2020-09-18,wo_noc,22228.01
1520,2020-09-19,wo_noc,20841.1
1525,2020-09-20,wo_noc,20093.2
1529,2020-09-21,wo_noc,20419.38
1539,2020-09-22,wo_noc,20195.36
1541,2020-09-23,wo_noc,20764.59
1551,2020-09-24,wo_noc,22165.66
1557,2020-09-25,wo_noc,21853.29
1560,2020-09-26,wo_noc,21230.02
1564,2020-09-27,wo_noc,21565.03
1571,2020-09-28,wo_noc,21247.57
1579,2020-09-29,wo_noc,22432.79
1583,2020-09-30,wo_noc,22227.3
1590,2020-10-01,wo_noc,20566.09
1598,2020-10-02,wo_noc,20829.0
1605,2020-10-03,wo_noc,20642.49
1611,2020-10-04,wo_noc,20791.04
1614,2020-10-05,wo_noc,20868.72
1623,2020-10-06,wo_noc,21277.57
1624,2020-10-07,wo_noc,20147.87
1632,2020-10-08,wo_noc,19281.8
1636,2020-10-09,wo_noc,18721.27
1644,2020-10-10,wo_noc,18632.63
1651,2020-10-11,wo_noc,18919.23
1658,2020-10-12,wo_noc,18856.72
1664,2020-10-13,wo_noc,19042.89
1667,2020-10-14,wo_noc,20246.34
1673,2020-10-15,wo_noc,20203.56
1679,2020-10-16,wo_noc,19849.67
1688,2020-10-17,wo_noc,18949.39
1695,2020-10-18,wo_noc,18561.21
1700,2020-10-19,wo_noc,17443.36
1707,2020-10-20,wo_noc,16696.65
1713,2020-10-21,wo_noc,17204.9
1719,2020-10-22,wo_noc,18675.68
1725,2020-10-23,wo_noc,19850.22
1730,2020-10-24,wo_noc,19698.67
1737,2020-10-25,wo_noc,19393.06
1740,2020-10-26,wo_noc,18512.14
1744,2020-10-27,wo_noc,18232.47
1751,2020-10-28,wo_noc,18668.23
1761,2020-10-29,wo_noc,18505.49
