,date,phong_ban,total_duration
1,2020-01-01,wo_others,308.45
6,2020-01-02,wo_others,1148.91
10,2020-01-03,wo_others,1822.48
12,2020-01-04,wo_others,2888.7
18,2020-01-05,wo_others,4200.74
21,2020-01-06,wo_others,5285.77
28,2020-01-07,wo_others,7157.65
32,2020-01-08,wo_others,8717.84
36,2020-01-09,wo_others,9532.27
38,2020-01-10,wo_others,10165.34
44,2020-01-11,wo_others,9728.51
46,2020-01-12,wo_others,9788.61
49,2020-01-13,wo_others,10212.02
53,2020-01-14,wo_others,11395.16
58,2020-01-15,wo_others,13030.21
62,2020-01-16,wo_others,13098.84
65,2020-01-17,wo_others,13338.92
71,2020-01-18,wo_others,13479.08
79,2020-01-19,wo_others,13362.95
82,2020-01-20,wo_others,13710.91
86,2020-01-21,wo_others,14276.67
91,2020-01-22,wo_others,13432.05
99,2020-01-23,wo_others,13594.05
101,2020-01-24,wo_others,13572.56
105,2020-01-25,wo_others,13449.92
113,2020-01-26,wo_others,13329.73
117,2020-01-27,wo_others,13297.83
121,2020-01-28,wo_others,13267.5
129,2020-01-29,wo_others,13278.53
132,2020-01-30,wo_others,13226.02
138,2020-01-31,wo_others,13783.32
142,2020-02-01,wo_others,14821.08
148,2020-02-02,wo_others,14938.89
151,2020-02-03,wo_others,15220.66
159,2020-02-04,wo_others,16511.24
163,2020-02-05,wo_others,18632.92
169,2020-02-06,wo_others,20317.68
172,2020-02-07,wo_others,21150.58
175,2020-02-08,wo_others,21222.26
183,2020-02-09,wo_others,20923.61
187,2020-02-10,wo_others,22513.59
191,2020-02-11,wo_others,31445.76
197,2020-02-12,wo_others,33558.37
204,2020-02-13,wo_others,43079.07
213,2020-02-14,wo_others,153813.9
216,2020-02-15,wo_others,157824.97
223,2020-02-16,wo_others,154290.8
227,2020-02-17,wo_others,149595.58
234,2020-02-18,wo_others,144170.46
240,2020-02-19,wo_others,140380.0
246,2020-02-20,wo_others,134958.59
254,2020-02-21,wo_others,130676.79
261,2020-02-22,wo_others,126507.22
266,2020-02-23,wo_others,121628.25
269,2020-02-24,wo_others,116936.9
275,2020-02-25,wo_others,110310.31
283,2020-02-26,wo_others,101981.51
291,2020-02-27,wo_others,89072.58
296,2020-02-28,wo_others,78834.55
303,2020-02-29,wo_others,75433.31
306,2020-03-01,wo_others,71592.83
310,2020-03-02,wo_others,71018.54
316,2020-03-03,wo_others,74301.37
327,2020-03-04,wo_others,141248.15
333,2020-03-05,wo_others,168615.73
336,2020-03-06,wo_others,201598.3
343,2020-03-07,wo_others,201941.21
350,2020-03-08,wo_others,200730.84
352,2020-03-09,wo_others,199577.39
360,2020-03-10,wo_others,199505.75
