date,phong_ban,sum_duration
2020-01-01,wo_co_dien,59856.56
2020-01-01,wo_others,308.45
2020-01-01,wo_ksnn,682.55
2020-01-01,wo_noc,1825.36
2020-01-02,wo_noc,4725.2
2020-01-02,wo_ksnn,1611.54
2020-01-02,wo_others,1148.91
2020-01-02,wo_co_dien,205396.18
2020-01-03,wo_co_dien,238813.4
2020-01-03,wo_ksnn,1776.64
2020-01-03,wo_others,1822.48
2020-01-03,wo_noc,9869.28
2020-01-04,wo_others,2888.7
2020-01-04,wo_ksnn,1981.34
2020-01-04,wo_co_dien,263309.13
2020-01-04,wo_noc,11700.22
2020-01-05,wo_noc,13324.29
2020-01-05,wo_ksnn,2008.04
2020-01-05,wo_others,4200.74
2020-01-05,wo_co_dien,281805.86
2020-01-06,wo_ksnn,2103.76
2020-01-06,wo_others,5285.77
2020-01-06,wo_noc,14851.4
2020-01-06,wo_co_dien,273122.62
2020-01-07,wo_noc,17751.15
2020-01-07,wo_co_dien,257826.96
2020-01-07,wo_ktts,1.73
2020-01-07,wo_ksnn,4195.38
2020-01-07,wo_others,7157.65
2020-01-08,wo_ksnn,4857.01
2020-01-08,wo_noc,20380.66
2020-01-08,wo_co_dien,239999.84
2020-01-08,wo_others,8717.84
2020-01-09,wo_noc,21456.28
2020-01-09,wo_ksnn,4958.38
2020-01-09,wo_co_dien,223840.77
2020-01-09,wo_others,9532.27
2020-01-10,wo_co_dien,210004.5
2020-01-10,wo_others,10165.34
2020-01-10,wo_ksnn,5130.49
2020-01-10,wo_noc,21765.78
2020-01-11,wo_co_dien,195422.34
2020-01-11,wo_noc,22770.95
2020-01-11,wo_ksnn,5150.29
2020-01-11,wo_others,9728.51
2020-01-12,wo_ksnn,5013.15
2020-01-12,wo_others,9788.61
2020-01-12,wo_noc,23827.73
2020-01-12,wo_co_dien,181378.2
2020-01-13,wo_others,10212.02
2020-01-13,wo_co_dien,165712.54
2020-01-13,wo_ksnn,5158.22
2020-01-13,wo_noc,24290.14
2020-01-14,wo_others,11395.16
2020-01-14,wo_ksnn,5637.13
