2024/03/08 09:52:18 logging,line: 35     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/03/08 09:52:18 logging,line: 36     INFO | Logger object created successfully..
2024/03/08 09:53:26 logging,line: 35     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/03/08 09:53:26 logging,line: 36     INFO | Logger object created successfully..
2024/03/08 09:53:48 app,line: 26     INFO | -------------------------NEW_SESSION_PREDICT----------------------------------
2024/03/08 09:53:48 app,line: 27     INFO | NumberRequest: 1
2024/03/08 09:53:55 app,line: 26     INFO | -------------------------NEW_SESSION_PREDICT----------------------------------
2024/03/08 09:53:55 app,line: 27     INFO | NumberRequest: 2
2024/03/08 09:54:29 logging,line: 35     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/03/08 09:54:29 logging,line: 36     INFO | Logger object created successfully..
2024/03/08 09:54:32 app,line: 26     INFO | -------------------------NEW_SESSION_PREDICT----------------------------------
2024/03/08 09:54:32 app,line: 27     INFO | NumberRequest: 1
2024/03/08 09:54:34 app,line: 26     INFO | -------------------------NEW_SESSION_PREDICT----------------------------------
2024/03/08 09:54:34 app,line: 27     INFO | NumberRequest: 2
2024/03/08 09:55:16 logging,line: 35     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/03/08 09:55:16 logging,line: 36     INFO | Logger object created successfully..
2024/03/08 09:55:18 app,line: 26     INFO | -------------------------NEW_SESSION_PREDICT----------------------------------
2024/03/08 09:55:18 app,line: 27     INFO | NumberRequest: 1
2024/03/08 09:55:21 app,line: 26     INFO | -------------------------NEW_SESSION_PREDICT----------------------------------
2024/03/08 09:55:21 app,line: 27     INFO | NumberRequest: 2
2024/03/08 09:58:08 logging,line: 35     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/03/08 09:58:08 logging,line: 36     INFO | Logger object created successfully..
2024/03/08 09:58:10 app,line: 26     INFO | -------------------------NEW_SESSION_PREDICT----------------------------------
2024/03/08 09:58:10 app,line: 27     INFO | NumberRequest: 1
2024/03/08 09:59:40 logging,line: 35     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/03/08 09:59:40 logging,line: 36     INFO | Logger object created successfully..
2024/03/08 09:59:42 app,line: 26     INFO | -------------------------NEW_SESSION_PREDICT----------------------------------
2024/03/08 09:59:42 app,line: 27     INFO | NumberRequest: 1
2024/03/08 10:00:22 app,line: 26     INFO | -------------------------NEW_SESSION_PREDICT----------------------------------
2024/03/08 10:00:22 app,line: 27     INFO | NumberRequest: 2
2024/03/08 10:00:24 app,line: 26     INFO | -------------------------NEW_SESSION_PREDICT----------------------------------
2024/03/08 10:00:24 app,line: 27     INFO | NumberRequest: 3
